font,l1_inf,iou_inf,ssim_inf,l1_128,iou_128,ssim_128
0000,0.01226337139423077,0.9378389894436283,0.934432370779451,0.015657865084134616,0.922467034782581,0.9193543271643881
0001,0.29297814002403844,0.32072582395533006,0.284796432678371,0.29550875150240385,0.3179951784959343,0.2853877174998118
0002,0.017897385817307692,0.8521254559969454,0.9373504537339782,0.018526517427884616,0.8495072004623718,0.9303134709820602
0003,0.01770958533653846,0.8628654041442168,0.9424503416560392,0.01830115685096154,0.8583051327722668,0.9341642359848888
0004,0.021733210637019232,0.8487279769407863,0.9011020661162094,0.02232947716346154,0.8431683831413482,0.9044389095245263
0005,0.016902043269230768,0.9396096966700538,0.9104268102737032,0.019667405348557692,0.931883037743931,0.8953088243666026
0006,0.01525409405048077,0.9453929682273863,0.9218405084280697,0.01811805138221154,0.9374192954076366,0.9092053111417228
0007,0.0244140625,0.9126608010094326,0.8545663057029274,0.025639460637019232,0.9071785774867325,0.8552153412074348
0008,0.01531982421875,0.945992194545838,0.9322875439254596,0.015648475060096152,0.9441948829382713,0.9244428849545194
0009,0.01318359375,0.940148345761955,0.9460136848872607,0.014263446514423076,0.9352100036065905,0.9401616991318219
0010,0.013779860276442308,0.938863855057847,0.9262844976069611,0.01385967548076923,0.9390536900952284,0.9291273475269247
0011,0.01214599609375,0.938684767130603,0.9537575089078048,0.013207068810096154,0.9331727860234479,0.9440681013501572
0012,0.014324481670673076,0.9451920229245717,0.9285245958301822,0.015160193810096154,0.9415702850464119,0.9264490411193815
0013,0.01909461388221154,0.8848141841009458,0.9208602620526233,0.020902193509615384,0.8708431642740606,0.9143290891440153
0014,0.025902381310096152,0.8673783528926695,0.8804657253897498,0.02757850060096154,0.8564068006784266,0.8788066689723691
0015,0.025902381310096152,0.8673783528926695,0.8804657253897498,0.02757850060096154,0.8564068006784266,0.8788066689723691
0016,0.011606069711538462,0.8999759909730574,0.948072382409605,0.014122596153846154,0.8821636008652499,0.9307079869927738
0017,0.014559232271634616,0.8896068908255851,0.9407137792323481,0.014239971454326924,0.8927063095959932,0.9382361720569803
0018,0.014549842247596154,0.8896949175529559,0.940945084170296,0.01422119140625,0.8929089106629152,0.9384673591816172
0019,0.016615647536057692,0.9144976681116126,0.931049672027216,0.018038236177884616,0.9082080255622611,0.9185829277954631
0021,0.0142822265625,0.9483266510502474,0.92493266586788,0.014723557692307692,0.9471945045751944,0.9203118216712605
0024,0.016005295973557692,0.8877575492784199,0.9244422436867814,0.019625150240384616,0.8657189028688135,0.9133742775925502
0025,0.025536170372596152,0.8648987984410076,0.9104231474413347,0.030226487379807692,0.8373607029780901,0.8937881298089955
0026,0.01744666466346154,0.9263063922001346,0.9247153708509595,0.018089881310096152,0.9214521885489968,0.9162530864655205
0028,0.022014911358173076,0.887459539818769,0.8883446142401391,0.023564265324519232,0.880704082891246,0.8780147227127334
0030,0.02039513221153846,0.8486499195408725,0.9138266490755762,0.019503079927884616,0.8565464558126974,0.9008891573306637
0031,0.011793870192307692,0.9401668437599555,0.9137845200881843,0.012005145733173076,0.9392908173678186,0.923366323969437
0035,0.023029033954326924,0.9084009802212024,0.9114808091552647,0.025104229266826924,0.8976010539953515,0.9002206952544362
0039,0.017718975360576924,0.848797106641488,0.9374996245577751,0.019071138822115384,0.8376011526344201,0.9328518524351599
0040,0.02185997596153846,0.9364591940091255,0.9100657246430484,0.02184119591346154,0.9371569755878822,0.9003206701664351
0044,0.008343036358173076,0.9368628446795539,0.9696340194658036,0.008901742788461538,0.9326970967687559,0.9645066982250738
0045,0.018831693209134616,0.9395510935693829,0.9170499508959702,0.019977276141826924,0.9421798041887376,0.9031034074604227
0049,0.015554574819711538,0.9225201454505694,0.9483495811679697,0.016441932091346152,0.9178909885037133,0.946329375466888
0053,0.011610764723557692,0.7052493437075319,0.9578342072847434,0.011850210336538462,0.6953917877575991,0.9547451501985075
